id,weight,year,sex,age,age_grp,region,gor,mastat,hushop,hhsize,lstage,nkids,parent,ch03,ch45,ch69,ch1015,qual,jbstat,jbrgsc,hoh,jbstathoh,fihhyr2,fihhyr_a,dfihhyr,dfihhyr_a,dfihhyrchg,dfihhyrchg_a,us,ustot,ustot_a,ustot_grp5,ustoty_a,ustotdy_a,ustoty_grp5,ustotdy_grp5,xpus,xpus_a,xpusy_a,xpusy_grp5,usn,usa,usb,usc,usd,use,usg,ush,usi,usj,tenure,tenure_grp2,tenure_grp3,huresp,hsval,hsval_a,reshsfall,mghave,intmg,mg1tot,mg1tot_a,mg1tot_grp5,mg1toty_a,mg1totdy_a,nequity,xpmg,xpmg_a,xpmgy_a,xpmgdy_a,xpmgy_grp5,xpmgdy_grp5,fixmg,fixmg09,fixpmg_a,fnxpmg_a,fixpmg09,fnxpmg09,changepmg,changepmg_a,fxuse1,fxuse2,fxuse3,fxuse4,fxuse5,fxuse6,pmguse1,pmguse2,pmguse3,pmguse4,pmguse5,pmguse6,pmguse7,pmguse8,xphsdf,xphpdf,billscc,xphdr1,xphdr2,xphdr3,xphdr4,xphdr5,xphdr6,xphdr7,xphdr8,xphdr9,xphdr10,xphdr11,xphdr12,xphdr13,xphdr14,xphdr15,xphdd1,xphdd2,xphdd3,xphdd4,xphdd5,xphdd6,xphdd7,xphdd8,xphdd9,xphdd10,xphdd11,xphdd12,xphdd13,xphdd14,hscntcr1,hscntcr2,hscntcr,hscrchg,saveamount,saveamount_a,saving,saving11,savebcs,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs13,desave11bcs1,desave11bcs2,desave11bcs3,desave11bcs4,desave11bcs5,desave11bcs6,save11bcs1,save11bcs2,save11bcs3,save11bcs4,save11bcs5,save11bcs6,save11bcs7,save11bcs8,save11bcs9,save11bcs10,save11bcs11,save11bcs12,spend,nvesttot,nvesttot_a,othassets,debtconc,debtconc_act1,debtconc_act2,debtconc_act3,debtconc_act4,debtconc_act5,debtconc_act6,debtconc_act7,chdebtconc,pubsecty,fisc_conc1,fisc_conc2,fisc_conc3,fisc_conc4,fisc_conc5,fisc_conc6,fisc_conc7,fisc_conc8,fisc_conc9,fisc_act1,fisc_act2,fisc_act3,fisc_act4,fisc_act5,fisc_act6,fisc_act7,fisc_act8,fisc_act9,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact6,fisc_impact7,fisc_impact8,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act5,fisc11_act6,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc6,fisc11_conc7,fisc11_conc8,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact5,fisc_likact6,forebearsec1,forebearsec2,forebearsec3,forebearsec4,forebearsec5,forebearsec6,forebearsec7,forebearsec8,forebeareffsec,brrise,forebearunsec1,forebearunsec2,forebearunsec3,forebearunsec4,forebearunsec5,forebeareffunsec,uncert,uncertch
65,0.549,2011,female,29,25-34,North West,north west,never married,yes,3,single,0,no,no,no,no,no,gcse/o-level/cse,unemployed,C2,yes,unemployed,don't know,don't know,don't know,don't know,don't know,,no,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,0,no,no,no,no,no,no,no,no,no,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,easier,none,0,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,vague idea,no change
231,3.233,2011,female,43,35-44,North West,east midlands,marrried or couple,no,4,family,2,yes,no,no,no,yes,a-level or equivalent (=nvq3),in paid employ,B,yes,in paid employ,"£75,000-£99,999",87500,£700-£799,750,down £50-£100,-75,yes,"£2,500-2,999",2750,"£1,000-£4,999",0.03142857179,0.305555552244,<0.25,0.25-0.5,£230-£239,475,0.065142855048,0.05-0.1,1,no,no,yes,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£100,000-£109,999",212500,,yes,fixed,"£50,000-£59,999",55000,"£30,000-£59,999",0.62857145071,6.11111116409,,"£1,250-£1,499",1375,0.188571423292,1.83333337307,0.1-0.2,>0.5,,,,,,,,,,,,,,,,,,,,,,,no,somewhat,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,the same,150-£199,175,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,,,no,no,no,no,yes,,good idea,no change
1543,0.886,2011,female,53,45-54,Yorks&Humber,yorks and humbr,marrried or couple,no,2,post family,0,no,no,no,no,no,no formal qualifications,in paid employ,C2,yes,in paid employ,"£25,000-£29,999",27500,£300-£399,350,down >£100,-150,yes,"£6,000-6,499",6250,"£5,000-£9,999",0.227272734046,1.48809528351,<0.25,>1,£140-£149,190,0.082909092307,0.05-0.1,1,yes,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£80,000-£89,999",162500,,yes,fixed,"£20,000-£29,999",25000,"<£30,000",0.909090936184,5.95238113403,,£350-£399,375,0.163636356592,1.07142853737,0.1-0.2,>0.5,,,,,,,,,,,,,,,,,,,,,,,no,somewhat,falling behind on some,,,,,,,,,,,,,,,,yes,no,no,no,no,yes,no,no,no,no,no,,,,no,no,no,harder,£100-£149,125,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£2,000 - £2,999",2500,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,,no,no,no,no,yes,,good idea,less certain
644,1.332,2011,female,36,35-44,South West,south west,marrried or couple,no,4,family,2,yes,yes,no,yes,no,vocational qualifications (=nvq1+2),in paid employ,C2,yes,in paid employ,"£40,000-£49,999",45000,£700-£799,750,down >£100,-150,yes,"£2,000-2,499",2250,"£1,000-£4,999",0.050000000745,0.25,<0.25,0.25-0.5,£140-£149,190,0.050666667521,0.05-0.1,1,no,yes,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£100,000-£109,999",212500,,yes,base rate tracker,"£40,000-£49,999",45000,"£30,000-£59,999",1,5,,£300-£349,325,0.086666665971,0.433333337307,<0.1,0.35-0.5,,,,,,,,,,,,,,,,,,,,,,,no,no,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,£100-£149,125,,Increase by £50-£99 a month,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,,"£9,000 - £9,999",9500,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,yes,,£200-299,no,no,no,no,yes,,good idea,no change
108,0.877,2011,male,63,55-64,Wales,south west,marrried or couple,yes,2,post family,0,no,no,no,no,no,bachelor degree or equivalent (=nvq4),retired,B,yes,retired,refused,refused,don't know,don't know,up <£50,25,yes,"£1,500-1,999",1750,"£1,000-£4,999",not applicable,not applicable,not applicable,not applicable,£150-£159,210,not applicable,not applicable,1,yes,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,no,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,£500-£599,550,,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£50,000 - £74,999",62500,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,no,no,no,no,yes,,good idea,no change
1081,1.091,2011,male,41,35-44,South East,eastern,never married,no,2,post family,0,no,no,no,no,no,no formal qualifications,long-term sick/disab,D,yes,long-term sick/disab,don't know,don't know,don't know,don't know,don't know,,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,mortgagor,owner,mortgagor,no,not applicable,not applicable,,yes,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,don't know,not applicable,don't know,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,don't know,no,not applicable,don't know,don't know,,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't know,don't know,,,,,,,,,,,don't know,,,,,,,,,,,,,,,,,,,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,don't know,don't know
522,0.713,2011,female,75,65+,E Midlands,south east,marrried or couple,yes,2,post family,0,no,no,no,no,no,a-level or equivalent (=nvq3),retired,A,yes,retired,refused,refused,refused,refused,refused,,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,refused,not applicable,refused,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,refused,refused,not applicable,refused,refused,,,refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refused,refused,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,good idea,no change
1454,0.646,2011,male,83,65+,Scotland,scotland,widowed/divorced/separated,yes,1,post family,0,no,no,no,no,no,no formal qualifications,retired,E,yes,retired,"£7,500-£9,499",8500,<£200,100,down <£50,-25,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,0,0,no,no,no,no,no,no,no,no,no,local authority rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,£25-£49,37.5,,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£500-£999,750,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,vague idea,no change
364,0.708,2011,male,38,35-44,Wales,wales,marrried or couple,yes,4,family,2,yes,no,no,no,yes,bachelor degree or equivalent (=nvq4),unemployed,B,no,in paid employ,refused,refused,refused,refused,refused,,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,mortgagor,owner,mortgagor,yes,refused,refused,,yes,refused,refused,refused,not applicable,not applicable,not applicable,,refused,refused,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,refused,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,refused,,,refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refused,refused,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,no,no,yes,,,,,,,,,good idea,no change
110,1.29,2011,male,48,45-54,Wales,south west,marrried or couple,yes,4,post family,0,no,no,no,no,no,bachelor degree or equivalent (=nvq4),in paid employ,B,yes,in paid employ,"£50,000-£74,999",62500,£400-£499,450,down <£50,-25,yes,"£3,000-3,499",3250,"£1,000-£4,999",0.052000001073,0.60185188055,<0.25,0.5-0.75,£110-£119,130,0.024960000068,<0.05,2,no,yes,yes,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,no,no,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,none,0,,Increase by £50-£99 a month,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,"£1,000 - £1,999",1500,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,,,,,,,,,,,no,no,no,no,yes,,no idea,less certain
