id,weight,year,sex,age,age_grp,region,gor,mastat,hushop,hhsize,lstage,nkids,parent,ch03,ch45,ch69,ch1015,qual,jbstat,jbrgsc,hoh,jbstathoh,fihhyr2,fihhyr_a,dfihhyr,dfihhyr_a,dfihhyrchg,dfihhyrchg_a,us,ustot,ustot_a,ustot_grp5,ustoty_a,ustotdy_a,ustoty_grp5,ustotdy_grp5,xpus,xpus_a,xpusy_a,xpusy_grp5,usn,usa,usb,usc,usd,use,usg,ush,usi,usj,tenure,tenure_grp2,tenure_grp3,huresp,hsval,hsval_a,reshsfall,mghave,intmg,mg1tot,mg1tot_a,mg1tot_grp5,mg1toty_a,mg1totdy_a,nequity,xpmg,xpmg_a,xpmgy_a,xpmgdy_a,xpmgy_grp5,xpmgdy_grp5,fixmg,fixmg09,fixpmg_a,fnxpmg_a,fixpmg09,fnxpmg09,changepmg,changepmg_a,fxuse1,fxuse2,fxuse3,fxuse4,fxuse5,fxuse6,pmguse1,pmguse2,pmguse3,pmguse4,pmguse5,pmguse6,pmguse7,pmguse8,xphsdf,xphpdf,billscc,xphdr1,xphdr2,xphdr3,xphdr4,xphdr5,xphdr6,xphdr7,xphdr8,xphdr9,xphdr10,xphdr11,xphdr12,xphdr13,xphdr14,xphdr15,xphdd1,xphdd2,xphdd3,xphdd4,xphdd5,xphdd6,xphdd7,xphdd8,xphdd9,xphdd10,xphdd11,xphdd12,xphdd13,xphdd14,hscntcr1,hscntcr2,hscntcr,hscrchg,saveamount,saveamount_a,saving,saving11,savebcs,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs13,desave11bcs1,desave11bcs2,desave11bcs3,desave11bcs4,desave11bcs5,desave11bcs6,save11bcs1,save11bcs2,save11bcs3,save11bcs4,save11bcs5,save11bcs6,save11bcs7,save11bcs8,save11bcs9,save11bcs10,save11bcs11,save11bcs12,spend,nvesttot,nvesttot_a,othassets,debtconc,debtconc_act1,debtconc_act2,debtconc_act3,debtconc_act4,debtconc_act5,debtconc_act6,debtconc_act7,chdebtconc,pubsecty,fisc_conc1,fisc_conc2,fisc_conc3,fisc_conc4,fisc_conc5,fisc_conc6,fisc_conc7,fisc_conc8,fisc_conc9,fisc_act1,fisc_act2,fisc_act3,fisc_act4,fisc_act5,fisc_act6,fisc_act7,fisc_act8,fisc_act9,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact6,fisc_impact7,fisc_impact8,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act5,fisc11_act6,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc6,fisc11_conc7,fisc11_conc8,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact5,fisc_likact6,forebearsec1,forebearsec2,forebearsec3,forebearsec4,forebearsec5,forebearsec6,forebearsec7,forebearsec8,forebeareffsec,brrise,forebearunsec1,forebearunsec2,forebearunsec3,forebearunsec4,forebearunsec5,forebeareffunsec,uncert,uncertch
1066,0.612,2009,female,76,65+,Greater London,london,marrried or couple,yes,2,,0,,no,no,no,no,no formal qualifications,retired,E,yes,retired,"£4,500-£6,499",5500,refused,refused,refused,,no,not applicable,not applicable,not applicable,0,not applicable,0,not applicable,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,local authority rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,not applicable,not applicable,not applicable,0,0,not applicable,0,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,the same,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,1.404,2009,male,24,18-24,Greater London,london,never married,no,5+,,2,,yes,no,yes,no,bachelor degree or equivalent (=nvq4),FT student,B,no,in paid employ,not applicable,not applicable,don't know,don't know,don't know,,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,mortgagor,owner,mortgagor,no,not applicable,not applicable,,yes,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,don't know,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1.072,2009,male,73,65+,Scotland,scotland,widowed/divorced/separated,yes,1,,0,,no,no,no,no,other,retired,C2,yes,retired,"£7,500-£9,499",8500,<£200,100,down >£100,-150,yes,<£200,100,"<£1,000",0.011764706112,0.083333335817,<0.25,<0.25,<£10,5,0.007058823481,,1,yes,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£130,000-£139,999",287500,,yes,don't know,don't know,don't know,not applicable,not applicable,not applicable,don't know,don't know,don't know,not applicable,not applicable,not applicable,not applicable,,no,,,not applicable,don't know,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,no,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1.132,2009,female,59,55-64,W Midlands,west midlands,marrried or couple,yes,2,,0,,no,no,no,no,bachelor degree or equivalent (=nvq4),retired,A,yes,retired,don't know,don't know,"£4,000-£4,999",4500,up <£50,25,no,not applicable,not applicable,not applicable,not applicable,0,not applicable,0,not applicable,0,not applicable,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,0,not applicable,not applicable,0,not applicable,0,not applicable,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,yes - significantly increase,,saving for deposit on house/flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1.041,2009,male,59,55-64,South East,eastern,marrried or couple,yes,3,,0,,no,no,no,no,gcse/o-level/cse,in paid employ,C1,yes,in paid employ,"£40,000-£49,999",45000,<£200,100,down <£50,-25,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£120,000-£129,999",262500,,yes,variable,"£50,000-£59,999",55000,"£30,000-£59,999",1.22222220898,45.8333320618,no,£900-£949,925,0.246666669846,9.25,0.2-0.35,>0.5,,no,,,not applicable,decreased by £75-99,,,no,no,no,no,yes,no,,,,,,,,,no,not applicable,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,no,no,no,no,no,yes,no,no,no,,,,,,no,no,no,not applicable,,,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,1.232,2009,male,84,65+,Greater London,london,widowed/divorced/separated,yes,1,,0,,no,no,no,no,no formal qualifications,retired,D,yes,retired,refused,refused,refused,refused,refused,,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1.495,2009,female,22,18-24,South East,eastern,never married,yes,1,,0,,no,no,no,no,masters/phd or equivalent,in paid employ,B,yes,in paid employ,"£13,500-£15,499",14500,£200-£299,250,no change,0,yes,"£9,000-9,499",9250,"£5,000-£9,999",0.63793104887,3.08333325386,0.5-0.75,>1,<£10,5,0.004137930926,,1,no,no,no,no,no,no,no,yes,no,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,not applicable,not applicable,0,0,0,0,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,no,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,no,no,no,no,no,no,no,yes,no,,,,,,yes,no,yes,not applicable,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.403,2009,female,77,65+,W Midlands,west midlands,marrried or couple,no,2,,0,,no,no,no,no,gcse/o-level/cse,retired,B,yes,retired,"£13,500-£15,499",14500,<£200,100,no change,0,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,not applicable,not applicable,0,0,0,0,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1.98,2009,female,29,25-34,North,north east,marrried or couple,no,2,,0,,no,no,no,no,a-level or equivalent (=nvq3),in paid employ,B,no,in paid employ,not applicable,not applicable,"£1,800-£1,999",1900,down <£50,-25,yes,"£3,500-3,999",3750,"£1,000-£4,999",not applicable,0.164473682642,not applicable,<0.25,£140-£149,190,not applicable,,1,yes,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£80,000-£89,999",162500,,yes,fixed,"£150,000-£169,999",160000,">£150,000",not applicable,7.01754379272,no,£800-£849,825,not applicable,0.434210538864,not applicable,0.35-0.5,,no,,,not applicable,more or less the same,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,no,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,yes - slightly increase,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,0.706,2009,male,33,25-34,North,north east,never married,yes,1,,0,,no,no,no,no,no formal qualifications,long-term sick/disab,E,yes,long-term sick/disab,"£4,500-£6,499",5500,<£200,100,down >£100,-150,yes,"£2,000-2,499",2250,"£1,000-£4,999",0.409090906382,1.875,0.25-0.5,>1,<£10,5,0.01090909075,,3,no,yes,yes,no,yes,no,no,no,no,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,not applicable,not applicable,0,0,0,0,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,heavy,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,,no,no,no,no,no,no,no,yes,no,,,,,,yes,no,yes,harder,,,yes - slightly increase,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1.321,2009,male,66,65+,E Midlands,east midlands,marrried or couple,yes,2,,0,,no,no,no,no,no formal qualifications,retired,D,no,retired,"£7,500-£9,499",8500,don't know,don't know,down <£50,-25,yes,<£200,100,"<£1,000",0.011764706112,not applicable,<0.25,not applicable,<£10,5,0.007058823481,,1,no,no,yes,no,no,no,no,no,no,owner outright,owner,owner outright,no,not applicable,not applicable,,no,not applicable,not applicable,0,0,0,not applicable,not applicable,not applicable,0,0,not applicable,0,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,yes,no,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,don't know,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1.943,2009,female,42,35-44,South West,south west,marrried or couple,yes,5+,,3,,no,no,yes,yes,gcse/o-level/cse,in paid employ,D,yes,in paid employ,"£30,000-£39,999",35000,£400-£499,450,down £50-£100,-75,yes,£500-999,750,"<£1,000",0.021428572014,0.138888895512,<0.25,<0.25,<£10,5,0.001714285696,,1,no,no,no,no,no,no,yes,no,no,mortgagor,owner,mortgagor,yes,"£90,000-£99,999",187500,,yes,fixed,"£110,000-£129,999",120000,"£90,000-£149,999",3.42857146263,22.2222213745,no,£800-£849,825,0.282857149839,1.83333337307,0.2-0.35,>0.5,,no,,,not applicable,increased by £250-299,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,yes,no,"keeping up, constant struggle",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,yes,no,,,,,,yes,no,yes,the same,,,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,0.817,2009,male,70,65+,Greater London,london,marrried or couple,no,2,,0,,no,no,no,no,no formal qualifications,retired,E,yes,retired,don't know,don't know,refused,refused,don't know,,no,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0,not applicable,,0,no,no,no,no,no,no,no,no,no,local authority rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,don't know,no,not applicable,harder,,,yes - slightly increase,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,1.63,2009,female,45,45-54,South East,eastern,widowed/divorced/separated,yes,2,,1,,no,no,no,yes,gcse/o-level/cse,in paid employ,B,yes,in paid employ,"£30,000-£39,999",35000,£900-£999,950,down £50-£100,-75,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£80,000-£89,999",162500,,yes,fixed,"£80,000-£89,999",85000,"£60,000-£89,999",2.42857146263,7.45614051819,no,£550-£599,575,0.197142854333,0.60526317358,0.1-0.2,>0.5,,no,,,not applicable,more or less the same,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,the same,,,yes - significantly increase,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,1.028,2009,male,61,55-64,Yorks&Humber,yorks and humbr,marrried or couple,yes,2,,0,,no,no,no,no,no formal qualifications,in paid employ,C2,no,in paid employ,refused,refused,don't know,don't know,down <£50,-25,yes,<£200,100,"<£1,000",not applicable,not applicable,not applicable,not applicable,£10-£19,15,not applicable,,1,no,no,no,yes,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,no,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,1.802,2009,male,53,45-54,South East,eastern,widowed/divorced/separated,yes,2,,0,,no,no,no,no,a-level or equivalent (=nvq3),in paid employ,B,yes,in paid employ,"£17,500-£24,999",21250,£300-£399,350,down £50-£100,-75,yes,"£25,000-29,999",27500,">£20,000",1.29411768913,6.54761886597,>1,>1,don't know,don't know,not applicable,,4,yes,no,no,no,no,no,yes,yes,yes,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,0,0,not applicable,not applicable,0,0,0,0,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,heavy,"keeping up, constant struggle",no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,,no,no,no,no,no,yes,yes,yes,no,,,,,,no,no,no,the same,,,no - definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,0.911,2009,male,60,55-64,North West,north west,marrried or couple,yes,2,,0,,no,no,no,no,gcse/o-level/cse,in paid employ,C1,yes,in paid employ,">=£100,000",125000,"£2,000-£2,999",2500,no change,0,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,not applicable,not applicable,0,0,0,0,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,0.63,2009,female,67,65+,W Midlands,west midlands,marrried or couple,yes,2,,0,,no,no,no,no,gcse/o-level/cse,retired,C1,yes,retired,don't know,don't know,don't know,don't know,don't know,,yes,don't know,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,don't know,don't know,not applicable,,1,no,no,yes,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,yes,heavy,"keeping up, constant struggle",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,no,no,,,,,,yes,no,yes,harder,,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,1.515,2009,male,44,35-44,South East,south east,marrried or couple,yes,4,,2,,no,no,yes,yes,bachelor degree or equivalent (=nvq4),in paid employ,B,no,in paid employ,"£40,000-£49,999",45000,£300-£399,350,up <£50,25,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,,0,no,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£110,000-£119,999",237500,,yes,base rate tracker,"£90,000-£99,999",95000,"£90,000-£149,999",2.11111116409,22.6190471649,no,£500-£549,525,0.140000000596,1.5,0.1-0.2,>0.5,,no,,,not applicable,decreased by £200-249,,,no,no,no,no,yes,no,,,,,,,,,no,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,0.79,2009,female,70,65+,W Midlands,west midlands,marrried or couple,no,2,,0,,no,no,no,no,other,in paid employ,C2,yes,in paid employ,refused,refused,£700-£799,750,no change,0,no,not applicable,not applicable,not applicable,not applicable,0,not applicable,0,not applicable,0,not applicable,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,0,not applicable,not applicable,0,not applicable,0,not applicable,0,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,yes,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,no,no,no,not applicable,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.758,2009,male,21,18-24,North West,north west,never married,no,3,,0,,no,no,no,no,vocational qualifications (=nvq1+2),unemployed,C2,no,in paid employ,not applicable,not applicable,<£200,100,down £50-£100,-75,no,not applicable,not applicable,not applicable,not applicable,0,not applicable,0,not applicable,0,not applicable,,0,no,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,no,not applicable,not applicable,,yes,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,yes,not applicable,"keeping up, struggle from time to time",yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,,yes,no,no,no,no,no,no,yes,no,,,,,,yes,no,yes,harder,,,yes - slightly increase,,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.491,2009,female,71,65+,Yorks&Humber,yorks and humbr,marrried or couple,no,2,,0,,no,no,no,no,no formal qualifications,retired,E,no,retired,not applicable,not applicable,don't know,don't know,down <£50,-25,no,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0,not applicable,,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,no,not applicable,not applicable,,no,not applicable,not applicable,0,0,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,not applicable,not applicable,,not applicable,,,not applicable,not applicable,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,no,not applicable,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,no,no,no,no,yes,no,no,no,,,,,,no,no,no,not applicable,,,no - not particularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
